Life expectancy,Year,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles,BMI,under-five deaths,Polio,Total expenditure,Diphtheria,HIV/AIDS,GDP,Population,thinness  1-19 years,thinness 5-9 years,Income composition of resources,Schooling
61,2008,255,2,0.1,93.4,81,0,2.6,2,81,5.1,81,0.1,796,657229,7.2,7.1,0.5,10.2
66,2007,259,2,0.2,9.1,75,0,2.1,2,75,4.9,75,0.1,72.8,64162,7.3,7.2,0.5,10
63,2006,262,2,0.3,77,69,85,19.6,2,69,4.6,69,0.1,648.4,626425,7.4,7.3,0.5,9.9
60,2005,266,2,0.2,70,68,912,19.2,2,67,4.3,68,0.1,621.9,611627,7.5,7.4,0.4,9.7
59.8,2004,269,2,0.3,7.2,77,0,18.8,2,73,4,76,0.1,616.4,597228,7.5,7.5,0,9.5
59.6,2003,271,2,0.3,45.1,28,0,18.4,2,8,3.7,8,0.1,544.6,583211,7.6,7.6,0,9.2
59.5,2002,271,2,0.1,29.4,79.5,0,18,2,98,3.4,89,0.1,433.3,569479,7.7,7.7,0,8.8
59.5,2001,272,1,0.1,19.7,79.5,0,17.6,2,7,2.9,7,0.1,395.9,555888,7.8,7.8,0,8.5
59.5,2000,272,1,0.1,35,79.5,0,17.3,2,7,3.6,7,0.1,375.9,542357,7.9,7.9,0,8.2
64.7,2015,267,7,4.3,0,8,1359,27.4,10,8,6.1,8,2.8,6938.3,13452239.1,7.5,7.1,0.6,11.1
64.2,2014,275,7,0,0,9,71,26.8,10,9,5.2,9,3,6938.3,13452239.1,7.6,7.3,0.6,11.1
63.9,2013,274,7,0,0,85,124,26.2,10,85,5.9,85,3,6938.3,13452239.1,7.7,7.4,0.6,11.1
63.7,2012,273,7,0,0,62,260,25.6,10,61,4,85,3.3,6938.3,13452239.1,7.9,7.5,0.6,10.2
62.9,2011,285,7,3.8,0,7,315,25,10,69,2.8,82,3.5,6938.3,13452239.1,8,7.6,0.6,10.7
62,2010,298,7,3.5,0,74,4,24.5,10,72,2.3,74,3.8,6938.3,13452239.1,8.1,7.7,0.5,10.5
